id_cliente,consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria_maior_consumo
1,322.9,True,6,Apartamento,2.4,Refrigeração
2,418.7,False,3,Casa,10.8,Tecnologia
3,594.8,True,10,Casa,10.9,Climatização
4,470.3,False,7,Casa,8.7,Iluminação
5,665.7,False,10,Comercial,5.2,Serviços
6,789.7,True,17,Comercial,0.8,Refrigeração
7,369.8,True,10,Apartamento,2.2,Eletrodomésticos
8,794.9,True,11,Comercial,5.7,Outros
9,923.3,False,21,Comercial,8.0,Climatização
10,495.6,True,1,Casa,8.2,Climatização
11,648.6,False,11,Comercial,1.9,Refrigeração
12,357.1,True,3,Apartamento,11.2,Outros
13,964.4,True,25,Comercial,10.8,Refrigeração
14,495.5,True,5,Apartamento,12.0,Iluminação
15,255.1,False,2,Apartamento,6.0,Serviços
16,284.5,False,4,Apartamento,9.4,Climatização
17,750.7,True,11,Comercial,11.0,Serviços
18,392.2,True,10,Apartamento,6.0,Tecnologia
19,632.7,False,24,Apartamento,11.5,Outros
20,441.0,False,10,Casa,7.3,Serviços
21,685.6,True,6,Comercial,3.1,Refrigeração
22,721.2,True,6,Comercial,10.8,Tecnologia
23,464.2,True,12,Apartamento,6.3,Tecnologia
24,498.5,True,3,Casa,9.8,Iluminação
25,743.8,False,1,Comercial,11.7,Outros
26,572.8,False,25,Casa,7.4,Climatização
27,502.8,True,14,Casa,1.1,Eletrodomésticos
28,745.1,True,1,Comercial,11.9,Climatização
29,454.2,False,17,Apartamento,4.6,Tecnologia
30,720.9,True,2,Comercial,9.8,Climatização
31,772.4,False,16,Comercial,6.5,Climatização
32,431.9,False,15,Casa,0.6,Outros
33,475.1,False,25,Apartamento,3.7,Refrigeração
34,700.0,True,9,Comercial,4.7,Iluminação
35,921.8,True,23,Comercial,11.1,Climatização
36,535.4,False,17,Casa,4.1,Iluminação
37,792.2,False,20,Comercial,4.8,Climatização
38,783.0,False,15,Comercial,5.2,Tecnologia
39,646.6,False,21,Casa,10.2,Serviços
40,471.0,False,15,Casa,0.6,Serviços
41,687.9,False,10,Comercial,1.2,Eletrodomésticos
42,499.7,False,5,Casa,10.2,Climatização
43,298.5,False,5,Apartamento,6.0,Eletrodomésticos
44,414.2,True,6,Casa,7.2,Tecnologia
45,781.9,False,24,Comercial,7.7,Refrigeração
46,439.4,True,5,Casa,7.3,Climatização
47,533.6,True,7,Casa,8.8,Eletrodomésticos
48,597.4,False,22,Casa,3.9,Refrigeração
49,809.3,True,13,Comercial,3.5,Outros
50,654.1,False,7,Comercial,7.3,Iluminação
51,478.2,True,13,Casa,2.3,Serviços
52,780.4,False,7,Comercial,9.3,Climatização
53,164.7,False,1,Apartamento,0.7,Eletrodomésticos
54,736.7,True,24,Apartamento,10.6,Refrigeração
55,776.0,False,15,Comercial,5.4,Refrigeração
56,385.8,False,12,Apartamento,4.4,Iluminação
57,457.3,False,5,Casa,11.5,Refrigeração
58,321.7,False,1,Casa,6.1,Serviços
59,650.5,False,22,Casa,7.7,Serviços
60,853.8,False,24,Comercial,1.5,Tecnologia
61,506.2,True,16,Apartamento,5.7,Iluminação
62,603.4,True,21,Apartamento,6.2,Tecnologia
63,813.3,False,21,Comercial,4.6,Iluminação
64,432.4,False,9,Apartamento,7.9,Eletrodomésticos
65,746.7,False,21,Comercial,2.5,Climatização
66,793.2,True,24,Casa,9.7,Climatização
67,331.2,False,13,Apartamento,3.9,Outros
68,835.6,False,10,Comercial,10.7,Climatização
69,677.5,True,7,Comercial,0.2,Refrigeração
70,427.9,True,8,Casa,0.8,Climatização
71,500.6,False,4,Comercial,0.4,Climatização
72,598.4,False,24,Casa,10.1,Refrigeração
73,765.2,False,18,Comercial,8.4,Refrigeração
74,471.7,True,5,Casa,7.7,Serviços
75,641.3,True,22,Casa,4.9,Outros
76,506.0,False,16,Apartamento,11.3,Refrigeração
77,682.4,True,6,Comercial,3.5,Climatização
78,689.5,True,3,Comercial,11.0,Eletrodomésticos
79,815.5,True,14,Comercial,8.4,Refrigeração
80,511.9,True,25,Apartamento,1.4,Refrigeração
81,839.9,False,15,Comercial,9.7,Refrigeração
82,422.3,False,10,Casa,0.8,Eletrodomésticos
83,305.1,False,5,Casa,1.5,Climatização
84,774.9,False,10,Comercial,8.9,Eletrodomésticos
85,605.6,False,1,Comercial,2.9,Refrigeração
86,317.9,False,7,Apartamento,9.1,Refrigeração
87,767.6,True,19,Comercial,7.1,Iluminação
88,621.5,False,8,Casa,11.7,Tecnologia
89,486.4,False,15,Apartamento,9.7,Climatização
90,585.3,True,20,Apartamento,8.8,Tecnologia
91,449.8,False,21,Casa,1.0,Outros
92,276.8,True,4,Apartamento,1.2,Eletrodomésticos
93,383.2,False,7,Apartamento,9.5,Iluminação
94,426.5,True,6,Casa,3.2,Outros
95,778.3,False,9,Comercial,11.8,Serviços
96,636.3,False,23,Casa,9.5,Serviços
97,310.9,False,7,Apartamento,1.2,Iluminação
98,883.3,False,22,Comercial,6.0,Refrigeração
99,847.9,True,21,Comercial,6.4,Refrigeração
100,590.0,True,7,Comercial,2.7,Climatização
101,755.2,False,5,Comercial,10.1,Climatização
102,583.3,True,23,Casa,7.9,Refrigeração
103,344.4,False,17,Apartamento,3.3,Outros
104,429.6,False,13,Apartamento,5.9,Climatização
105,743.8,False,10,Comercial,10.0,Refrigeração
106,380.6,False,14,Apartamento,9.8,Tecnologia
107,690.9,True,19,Casa,9.5,Eletrodomésticos
108,352.5,True,2,Casa,0.8,Climatização
109,450.9,False,6,Casa,11.1,Tecnologia
110,327.2,True,10,Apartamento,0.5,Refrigeração
111,514.3,True,3,Casa,9.7,Tecnologia
112,737.3,False,9,Comercial,8.0,Refrigeração
113,499.9,True,11,Casa,5.4,Iluminação
114,281.1,False,11,Apartamento,0.6,Iluminação
115,499.3,False,17,Casa,2.5,Iluminação
116,796.4,False,20,Comercial,11.9,Climatização
117,317.7,False,5,Casa,0.4,Refrigeração
118,825.1,False,8,Comercial,6.9,Refrigeração
119,782.2,False,20,Comercial,4.5,Serviços
120,606.6,True,24,Apartamento,7.6,Eletrodomésticos
121,690.6,False,24,Casa,10.1,Serviços
122,648.8,False,19,Casa,9.9,Refrigeração
123,506.0,False,17,Casa,4.9,Outros
124,704.9,True,10,Comercial,0.9,Climatização
125,681.5,True,19,Casa,7.2,Tecnologia
126,604.4,True,24,Apartamento,4.0,Eletrodomésticos
127,701.1,False,25,Casa,7.3,Eletrodomésticos
128,395.1,True,5,Casa,3.9,Climatização
129,608.8,True,21,Apartamento,10.0,Climatização
130,520.8,True,15,Casa,0.7,Eletrodomésticos
131,691.7,True,1,Comercial,11.4,Climatização
132,521.7,True,14,Apartamento,11.6,Tecnologia
133,615.8,True,2,Comercial,3.3,Eletrodomésticos
134,741.4,False,18,Comercial,5.1,Serviços
135,931.3,True,21,Comercial,3.9,Refrigeração
136,312.9,True,7,Apartamento,0.1,Climatização
137,469.7,True,18,Apartamento,5.3,Serviços
138,725.4,False,8,Comercial,11.1,Refrigeração
