client_id,consumption_kwh,peak_hour_usage,equipment_quantity,property_type,high_consumption_hours,highest_consumption_category,category
1,322.9,1,6,Apartamento,2.4,Refrigeração,Mediano
2,418.7,0,3,Casa,10.8,Tecnologia,Excelente
3,594.8,1,10,Casa,10.9,Climatização,Crítico
4,470.3,0,7,Casa,8.7,Iluminação,Bom
5,665.7,0,10,Comercial,5.2,Serviços,Excelente
6,789.7,1,17,Comercial,0.8,Refrigeração,Mediano
7,369.8,1,10,Apartamento,2.2,Eletrodomésticos,Ruim
8,794.9,1,11,Comercial,5.7,Outros,Ruim
9,923.3,0,21,Comercial,8.0,Climatização,Mediano
10,495.6,1,1,Casa,8.2,Climatização,Mediano
11,648.6,0,11,Comercial,1.9,Refrigeração,Excelente
12,357.1,1,3,Apartamento,11.2,Outros,Ruim
13,964.4,1,25,Comercial,10.8,Refrigeração,Crítico
14,495.5,1,5,Apartamento,12.0,Iluminação,Crítico
15,255.1,0,2,Apartamento,6.0,Serviços,Excelente
16,284.5,0,4,Apartamento,9.4,Climatização,Bom
17,750.7,1,11,Comercial,11.0,Serviços,Ruim
18,392.2,1,10,Apartamento,6.0,Tecnologia,Ruim
19,632.7,0,24,Apartamento,11.5,Outros,Crítico
20,441.0,0,10,Casa,7.3,Serviços,Bom
21,685.6,1,6,Comercial,3.1,Refrigeração,Mediano
22,721.2,1,6,Comercial,10.8,Tecnologia,Ruim
23,464.2,1,12,Apartamento,6.3,Tecnologia,Crítico
24,498.5,1,3,Casa,9.8,Iluminação,Ruim
25,743.8,0,1,Comercial,11.7,Outros,Excelente
26,572.8,0,25,Casa,7.4,Climatização,Mediano
27,502.8,1,14,Casa,1.1,Eletrodomésticos,Ruim
28,745.1,1,1,Comercial,11.9,Climatização,Ruim
29,454.2,0,17,Apartamento,4.6,Tecnologia,Mediano
30,720.9,1,2,Comercial,9.8,Climatização,Mediano
31,772.4,0,16,Comercial,6.5,Climatização,Bom
32,431.9,0,15,Casa,0.6,Outros,Excelente
33,475.1,0,25,Apartamento,3.7,Refrigeração,Mediano
34,700.0,1,9,Comercial,4.7,Iluminação,Mediano
35,921.8,1,23,Comercial,11.1,Climatização,Crítico
36,535.4,0,17,Casa,4.1,Iluminação,Bom
37,792.2,0,20,Comercial,4.8,Climatização,Bom
38,783.0,0,15,Comercial,5.2,Tecnologia,Bom
39,646.6,0,21,Casa,10.2,Serviços,Mediano
40,471.0,0,15,Casa,0.6,Serviços,Excelente
41,687.9,0,10,Comercial,1.2,Eletrodomésticos,Excelente
42,499.7,0,5,Casa,10.2,Climatização,Bom
43,298.5,0,5,Apartamento,6.0,Eletrodomésticos,Excelente
44,414.2,1,6,Casa,7.2,Tecnologia,Mediano
45,781.9,0,24,Comercial,7.7,Refrigeração,Mediano
46,439.4,1,5,Casa,7.3,Climatização,Mediano
47,533.6,1,7,Casa,8.8,Eletrodomésticos,Ruim
48,597.4,0,22,Casa,3.9,Refrigeração,Mediano
49,809.3,1,13,Comercial,3.5,Outros,Ruim
50,654.1,0,7,Comercial,7.3,Iluminação,Excelente
51,478.2,1,13,Casa,2.3,Serviços,Ruim
52,780.4,0,7,Comercial,9.3,Climatização,Excelente
53,164.7,0,1,Apartamento,0.7,Eletrodomésticos,Excelente
54,736.7,1,24,Apartamento,10.6,Refrigeração,Crítico
55,776.0,0,15,Comercial,5.4,Refrigeração,Bom
